Dealer,Street,City,State,ZIP,Email,Contact_Type,Website,Source_URL,Radius_Status,Verified_Date,Notes
"Ohio Cars.com","1119 Reading Rd","Mason","OH","45040","sales@ohiocars.com","Published email","https://www.ohiocars.com/","https://www.ohiocars.com/","Within target area","2026-08-09","Email displayed on dealer website"
"First Choice Auto","","Middletown","OH","45042","firstchoiceauto@zoomtown.com","Published email","https://usedcars513.com/","https://usedcars513.com/","Within target area","2026-08-09","Email displayed on dealer website"
"International Auto Outlet","2531 Dixie Hwy","Hamilton","OH","45015","info@internationalautooutlet.com","Published email","https://www.internationalautooutlet.com/","https://www.internationalautooutlet.com/","Within target area","2026-08-09","Email displayed on dealer website"
"Ohio Motors Inc.","","Cincinnati","OH","","ohiomotors@mail.com","Published email","https://www.ohiomotorsinc.com/index","https://www.ohiomotorsinc.com/index","Within target area","2026-08-09","Email displayed on dealer website"
"Jake Sweeney Used Car Superstore","11521 Princeton Pike","Cincinnati","OH","45246","sales@jakesweeneyusedcarsuperstore.com","Published email","https://www.sweeneyusedcars.com/","https://pressadvantage.com/pdf/53598-budget-vehicles-now-available-at-jake-sweeney-used-car-superstore-in-cincinnati/","Within target area","2026-08-09","Public sales email"
"Dixie Auto Outlet","","Dayton","OH","45414","dixieautooutlet@gmail.com","Published email","https://dixieautooutlet.com/","https://dixieautooutlet.com/","Within approximately 50 miles","2026-08-09","Email displayed on dealer website"
"Alan Besco Cars and Trucks","","Xenia","OH","45385","sales@alanbescosuperstore.com","Published email","https://www.alanbescosuperstore.com/about/","https://www.alanbescosuperstore.com/about/","Within approximately 50 miles","2026-08-09","Email displayed on dealer website"
"Partners Auto Sales","1800 Valley St","Dayton","OH","45404","sales@partners-autosalesllc.com","Published email","https://partners-autosalesllc.com/","https://partners-autosalesllc.com/","Within approximately 50 miles","2026-08-09","Email displayed on dealer website"
"1st Rate 2nd Hand","","Dayton","OH","45420","1stRate2ndHandDayton@gmail.com","Published email","https://1stratedayton.com/contact.html","https://1stratedayton.com/contact.html","Within approximately 50 miles","2026-08-09","Email displayed on dealer website"
"Advantage Car and Credit","","Xenia / Vandalia / Troy","OH","","sales@AdvantageCarAndCredit.com","Published email","https://www.daytonbuyherepayhere.com/","https://www.daytonbuyherepayhere.com/","Within approximately 50 miles","2026-08-09","One public sales email serves several area locations"
"SIS Motors LLC","","Cincinnati","OH","45244","","Contact form","https://sismotors.mycarsonline.com/","https://sismotors.mycarsonline.com/","Within target area","2026-08-09","Site masks the email; use public contact form"
"Enterprise Automotive","1077 Ohio Pike","Cincinnati","OH","45245","","Contact form","https://www.enterpriseautomotiveinc.com/","https://www.enterpriseautomotiveinc.com/","Within target area","2026-08-09","Site masks the email; use public contact form"
"R&W Auto Sales","","Lebanon","OH","","","Contact form","https://www.rwautostore.com/","https://www.rwautostore.com/","Within target area","2026-08-09","Site masks the email; use public contact form"
"Alpine Auto Sales","","Milford","OH","45150","","Contact form","https://www.alpine-autosales.com/home/","https://www.alpine-autosales.com/home/","Within target area","2026-08-09","Site masks the email; use public contact form"
"Rod's Automotive","","Cincinnati","OH","","","Contact form","https://www.rodsautomotivecincy.com/","https://www.rodsautomotivecincy.com/","Within target area","2026-08-09","No public direct email found"
"Mike Albert Sales and Service","","Cincinnati","OH","","","Contact form","https://www.mikealbertcars.com/dealership/contact-us.htm","https://www.mikealbertcars.com/dealership/contact-us.htm","Within target area","2026-08-09","No public direct email found"
"Cincinnati Auto Credit","","Cincinnati / Fairfield","OH","","","Contact form","https://www.cincyauto.com/","https://www.cincyauto.com/","Within target area","2026-08-09","No public direct email found"
"Worley Auto Sales","","Hamilton","OH","","","Contact form","https://www.worleyauto.com/","https://www.worleyauto.com/","Within target area","2026-08-09","No public direct email found"
"Courtesy Automotive","","Cincinnati","OH","","","Contact form","https://gocourtesy.com/contact.cfm","https://gocourtesy.com/contact.cfm","Within target area","2026-08-09","No public direct email found"
